,user,word,description
0,1,кінь,"Парнокопитна тварина, яка була однією з перших приручена людьми. До її переваг можна віднести швидкість, силу та витривалість."
1,1,зебра,"африканська тварина, зовнішній вигляд якої нагадує коней. Відмінною рисою є її забарвлення, яке складається з чорних та білих смуг."
2,1,корова,"вид парнокопитної худоби, основне використання  якої, переважно, у здобутті молока. Рідко використовується чисто заради м'яса."
3,1,ведмідь,"всеїдна велика тварина, яка має дуже сильний територіальний характер. В залежності від типу клімату, можна виділити як лісових так і полярних."
4,1,олень,"парнокопитна дика тварина, яка зазвичай проживає у лісах. Відмінною рисою є їх роги, які мають багато збіжного із потужними гілками дерев."
5,1,страус,"двометрова птаха, у якої крила тільки для краси. Але не обманюйте себе, це справжній жах на крилах ночі. Розвиває швидкість подужче більшості автомобілей. Дуже агресивна тварина. Дуже."
6,1,курка,"домашній птах, майже не вміє літати. Цінується через її ніжне та нежирне м'ясо, та можливість легко збирати яйця, які також є зручним джерелом білків."
7,1,пінгвін,"півметровий птах, який водиться переважно на Арктиці. Улюблена їжа морських левів. Насправді у них є коліна."
8,1,сова,нічний птах. Справжній хижак. Полює на маленьких ссавців.
9,1,лебідь,"дуже красива птаха. Символ кохання, один з причин можливих теорій виникнення сучасного зображення серця. Але все ж таки, вони жахливо співають."
10,1,морквина,"коренеплід, зазвичай жовтого кольору, але може бути і фіолетовою. Солодкувата на смак."
11,1,яблуко,"фрукт, багатий залізом. Доки не визріє, має великий зміст крохмалю. Є виробником слухів, що закривши ніс та очі, яблуко на смак не відрізняється від картоплі. Це не так."
12,1,банан,"жертва безжальної селекції. їстівна її частина була збільшена у десятки разів, а усі кісточки для продовження роду видалені ласкавою рукою людини століття тому. Улюблена їжа космонавтів."
13,1,картопля,"коренеплід з високим змістом крохмалю та енергетичною цінністю. Її батьківщиною вважається Південна Америка, але це не зовсім так."
14,1,лимон,"дуже кислий цитрусовий фрукт, має високий вміст вітаміну С. Багато хто полюбляє заварювати з ним чай, або з його цедрою."
15,2,кінь,"копитна тварина, на якій людина здатна швидко пересуватись"
16,2,зебра,"тварина, яка схожа на коня, має забарвлення в білу і чорну смуги."
17,2,корова,"копитна тварина з вим'ям, мичить і дає молоко"
18,2,ведмідь,"лісова всеїдна тварина, яка полюбляє мед, може лазити по деревам і має величезну силу"
19,2,олень,лісова тварина з рогами
20,2,страус,"птах, який виносить великі яйця і ховає голову в пісок"
21,2,курка,"домашня птиця, яка висиджує яйця"
22,2,пінгвін,"птах, ареал проживання якого знаходиться в холодних краях. Плаває, але не літає"
23,2,сова,"нічний птах, який харчується гризунами і здатен обертати голову на 360 градусів"
24,2,лебідь,"білий птах, символ кохання. В дитинстві має сіре оперення"
25,2,морквина,"помаранчевий овоч витягнутої форми, який полюбляють зайці"
26,2,яблуко,"дуже популярний круглий фрукт, який росте в різних кліматичних умовах і в залежності від сорту може бути різних кольорів, які підтверджують його зрілість"
27,2,банан,"тропічний фрукт у формі дуги жовтого кольору, росте на пальмах"
28,2,картопля,"поширена білоруська національна сільськогосподарська рослина, яка має плоди круглої форми, які ростуть з коріння"
29,2,лимон,цитрусовий кислий фрукт жовтого кольору
30,3,кінь,"тварина, яку використовували для відкатки вугілля в шахтах (замість ручної праці) в середині дев’ятнадцятого сторіччя"
31,3,зебра,"тварина, яка має цікавий смуглястий чорно-білий окрас, на відмінність від коней людьми майже не використовується"
32,3,корова,"домашня тварина, із шкури якої роблять дуже привабливі покриття для підлог"
33,3,ведмідь,"дика хижа тварина, має різний окрас шкіри, люди іноді приручають їх для виступу на манежі цирку"
34,3,олень,"дика тварина, яка має великі роги, на півночі їх використовують для їзди на санях, також возять Санта-Клауса"
35,3,страус,"велика птиця, яка не може літати, але дуже швидко бігає, іноді використовують для верхової їзди"
36,3,курка,"домашня птиця, яка майже не літає, кудахкає, використовується людьми в основному для їжі"
37,3,пінгвін,"птиця, яка не може літати, але дуже добре плаває та ниряє, по суші пересуваються перевальцем"
38,3,сова,"мудрий птах, який веде нічний образ життя, має великі очі, харчується гризунами, майже не приручається"
39,3,лебідь,"птах, який має довгу шию, поєднує у собі дві стихії - повітря і води, є птахом життя (білого кольору), і водночас може уособлювати смерть (чорного кольору)"
40,3,морквина,"овочева рослина, використовується в основному для їжі, багата кератином, іноді використовується як ніс сніговика"
41,3,яблуко,"фрукт, в основному круглої форми, різного кольору, різного розміру, для деяких це «заборонений плід»"
42,3,банан,"один із самих популярних та корисних фруктів, має цікаву форму, розмір та колір можуть дуже розрізнятися"
43,3,картопля,"коренеплід, який в основному використовується для їжі, дуже багатий крохмалем, виростає різних розмірів, листя цього куща дуже любить колорадський жук"
44,3,лимон,"плід жовтого кольору, багатий вітаміном С, приємний на смак, але дуже кислий, можна вирощувати в домашніх умовах"
45,4,кінь,"Тварина, яку підковують, має великі зуби."
46,4,зебра,"Кінь, в чорно-біло смугу."
47,4,корова,"Їсть траву, сіно, дає молоко, великих розмірів."
48,4,ведмідь,"Велика, хижа тварина, з великими гострими кігтями."
49,4,олень,"Травоїдна тварина, має великі закручені роги, живе у дикі природі."
50,4,страус,"Птах, який швидко бігає, має довгі ноги та шию."
51,4,курка,"Свійський птах, м'ясо якої найчастіше споживають."
52,4,пінгвін,"Птах, який не літає, а крила має."
53,4,сова,"Нічний хижий птах, з великими очима, коричневого кольору."
54,4,лебідь,"Гидке каченя, може літати, жовтий дзьоб, перебувають парами."
55,4,морквина,"Подовгуватий, оранжевий овоч, який росте в землі."
56,4,яблуко,"Зелене, червоне або жовте, кругле на вигляд, корисне для імунітету."
57,4,банан,"Жовтий, подовгастий фрукт, дієтичний та солодкий, без кісточок."
58,4,картопля,"Родина бобових, має кільця які проростають, росте в землі."
59,4,лимон,"Фрукт, кислий на смак, часто додають в чай в якості лікувального ефекту."
60,5,кінь,"Тварина, яку запрягають у віз, її силу прирівнюють до одиниць вимірювання міцності автомобілів."
61,5,зебра,"Тварина, яка має гриву, але не кінь."
62,5,корова,"Велика, рогата худоба."
63,5,ведмідь,"Впадає в сплячку взимку, любить мед."
64,5,олень,"Цим звіром нарікають людей, які чогось не розуміють."
65,5,страус,"Птах, який ховає голову в пісок."
66,5,курка,"Домашня птиця, літає погано і недалеко."
67,5,пінгвін,"Птах, який живе на північному полюсі, темно синього кольору з білим животом."
68,5,сова,"Птах, полює на дрібних гризунів, переважно вночі."
69,5,лебідь,"Красивий, білий птах, переважно перебуває у воді."
70,5,морквина,"Овоч, який дуже полюбляють зайці, конусної форми."
71,5,яблуко,"Кислий, солодкий із кісточками всередині, корисно їсти зі шкіркою."
72,5,банан,"Подовгуватий фрукт, який їдять в очищеному вигляді, без шкірки."
73,5,картопля,"Овоч, який споживають більшість людей, особливо в смаженому вигляді."
74,5,лимон,"Жовтий, овальний на вигляд фрукт."
75,6,кінь,"Парнокопитна тварина, одомашнена, допомагала людям в господарстві а також служила для швидшого пересування до винайдення машин"
76,6,зебра,"Парнокопитна тварина, дика, має чорно-білі смуги"
77,6,корова,"Парнокопитна, рогата, велика, тварина, одомашнена, дає молоко"
78,6,ведмідь,"Дика всеїдна тварина, може жити в лісі і мати коричневе хутро або на північному полюсі і мат біле хутро"
79,6,олень,"Парнокопитна дика тварина, має унікальні великі красиві роги які скидає раз на рік, використовує їх для битви з іншими самцями свого виду"
80,6,страус,Ховає голову в пісок
81,6,курка,"Домашня птиця, несе яйця"
82,6,пінгвін,"Чорно-біла птиця, живе на південному полюсі"
83,6,сова,"Дика хижа нічна птиця, може повертати голову на 360 градусів, полює на мишей та інших мілких тваринок"
84,6,лебідь,"Зазвичай біла птиця, з довгою шиєю, часто ж символом кохання"
85,6,морквина,"Овоч помаранчевого кольору, довгий, росте в землі"
86,6,яблуко,"Фрукт, росте на деревах, дозріває вкінці літа, популярний сорт цього фрукта голден"
87,6,банан,"Жовтий довгий фрукт, привозиться з теплих країн"
88,6,картопля,Традиційний овоч Білорусії
89,6,лимон,"Кислий фрукт, жовтий, невеликого розміру"
90,7,кінь,Тварина яку використовують для пересування. На нього одягають сідло або запрягають в карету.
91,7,зебра,"Тварина яке схоже на коня, але має білі і чорні смужки. Часто можна побачити в зоопарку."
92,7,корова,"велика тварина, яку тримають для отримання молока. Має біле забарвлення з чорними плямами."
93,7,ведмідь,"Велика небезпечна тварина, що живе в лісі. Любить мед."
94,7,олень,"Тварина, мешкає в лісі, має гарні великі роги."
95,7,страус,"великий птах, що не вміє літати, але може швидко бігати. Часто можна бачити в зоопарку."
96,7,курка,Птах який тримають на фермі для виробництва яєць і м'яса.
97,7,пінгвін,Птах що не вміє літати. Має чорно-біле забарвлення. Живе в холодному кліматі.
98,7,сова,"Птах що живе в лісі. Спить днем, вночі полює."
99,7,лебідь,Красивий птах білого кольору. Має довгу шию. Часто можна бачити в зоопарку.
100,7,морквина,Довгий овоч помаранчевого кольору. Зростає в землі. Його люблять зайчики.
101,7,яблуко,Один з найвідоміших фруктів. Зростає на деревах. Зазвичай червоного або зеленого кольору.
102,7,банан,"Довгий фрукт жовтого кольору, який дуже люблять мавпи. Має шкірку."
103,7,картопля,"Овоч, що росте в землі. Коричневого кольору. З нього роблять пюре."
104,7,лимон,"Цитрус, жовтого кольору. Кислий і містить багато вітамін. Часто додають в чай."
105,8,кінь,"тварина, супутник людини, засіб пересування і тяглова сила і помічник в сільгосп роботах і грізна військова сила"
106,8,зебра,"Дикий африканський смугастий (чорний, зі світло-жовтим) кінь."
107,8,корова,"Домашня молочна тварина, самка великої рогатої худоби, а також деяких інших рогатих тварин"
108,8,ведмідь,Великий хижий ссавець тварина з довгою шерстю і товстими ногами.
109,8,олень,Жуйний парнокопитний ссавець з гіллястими рогами.
110,8,страус,Найбільший бігучий (нелетючий) птах жарких країн з красивим оперенням.
111,8,курка,"Домашня птиця, самка півня."
112,8,пінгвін,"Південна полярна птиця з короткими крилами яка вміє плавати, але не літає."
113,8,сова,Хижий нічний птах з великими очима і гачкуватим дзьобом
114,8,лебідь,Велика водоплавна птиця з довгою зігнутою шиєю.
115,8,морквина,"Городня рослина, овоч з їстівним солодкуватим помаранчевим потовщеним коренем."
116,8,яблуко,"соковитий плід, який вживається в їжу в свіжому вигляді, є сировиною в кулінарії і для приготування напоїв."
117,8,банан,"фрукт з шкіркою. Колір шкірки може бути: жовтий, червоний, зелений або сріблястий. Що стосується м'якоті, то її забарвлення може бути білий, жовтий, кремовий або помаранчевий"
118,8,картопля,"Рід овоча, рослина з їстівними бульбами, багатими крохмалем"
119,8,лимон,ароматний цитрус з твердою шкіркою і кислої на смак м'якоттю.
